"CORSAIR  HX1200i 80PLUS PLATINUM,CORSAIR,ATX 파워,정격 1200W,표기 1200W,20핀+4핀,140mm 팬,O,,,O,,O"
"AONE  태왕 EP600L KC,AONE,ATX 파워,,표기 600W,20핀+4핀,120mm 팬,O,,,,,"
"POWEREX  REXIII DS 600W Single Rail DC to DC,POWEREX,ATX 파워,정격 600W,표기 600W,20핀+4핀,120mm 팬,O,,,O,,"
"POWEREX  REX 5 500W Triple V2.3,POWEREX,ATX 파워,정격 500W,표기 500W,20핀+4핀,120mm 팬,O,,,O,,"
"POWEREX  BLACK HAWK 650W,POWEREX,ATX 파워,정격 650W,표기 650W,20핀+4핀,120mm 팬,O,,,O,,O"
"POWEREX  REX-S350P PFC Single 85+,POWEREX,TFX 파워,정격 300W,표기 300W,20핀+4핀,80mm 팬,O,,,,,"
"쿨러마스터  V1000,쿨러마스터,ATX 파워,1000W 이상,,20핀+4핀,135mm 팬,O,,,O,,O"
"AONE  STORM 400LF 더블포워드 V2.3,AONE,ATX 파워,정격 400W,,20핀+4핀,120mm 팬,O,,,,,"
"FSP  AURUM PT850W,FSP,ATX 파워,정격 850W,표기 850W,20핀+4핀,135mm 팬,O,,,O,,O"
"Antec  HCP-1000 Platinum,Antec,ATX 파워,정격 1000W,표기 1000W,20핀+4핀,135mm 팬,O,O,,O,O,O"
"시소닉  P-1050 80PLUS PLATINUM SnowSilent,시소닉,ATX 파워,정격 1050W,표기 1050W,20핀+4핀,120mm 팬,O,O,,O,,O"
